longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value
-122.23,37.88,41.0,880.0,0.02648040033361134,322.0,0.027629233511586453,8.3252,452600.0
-122.22,37.86,21.0,7099.0,0.23019182652210174,2401.0,0.2531194295900178,8.3014,358500.0
-122.24,37.85,52.0,1467.0,0.03919933277731443,496.0,0.03899286987522282,7.2574,352100.0
-122.25,37.84,52.0,2535.0,0.10154295246038365,1094.0,0.1140819964349376,3.6591,299200.0
-122.27,37.83,49.0,1655.0,0.07589658048373644,754.0,0.07286096256684492,1.375,104900.0
-122.27,37.82,43.0,1007.0,0.0646371976647206,558.0,0.055926916221033865,1.7348,137500.0
-122.29,37.81,50.0,760.0,0.03919933277731443,377.0,0.026737967914438502,0.9011,86100.0
-122.29,37.8,52.0,1027.0,0.05045871559633028,492.0,0.03230837789661319,2.6094,81300.0
-122.27,37.79,27.0,1055.0,0.0719349457881568,718.0,0.06684491978609626,2.6354,187500.0
-122.22,37.77,52.0,391.0,0.02627189324437031,520.0,0.030303030303030304,1.6471,95000.0
-122.23,37.78,52.0,472.0,0.030025020850708923,415.0,0.027629233511586453,2.6429,71300.0
-122.21,37.76,52.0,1420.0,0.06505421184320268,1085.0,0.06639928698752229,1.7546,80600.0
-122.2,37.75,36.0,606.0,0.027105921601334446,531.0,0.029188948306595366,1.5809,70000.0
-122.19,37.74,36.0,847.0,0.043786488740617184,567.0,0.03498217468805704,1.1765,87100.0
-122.19,37.73,44.0,1066.0,0.052335279399499585,825.0,0.05392156862745098,2.1538,79700.0
-122.29,37.9,49.0,1283.0,0.04920767306088407,576.0,0.05213903743315508,3.3333,276800.0
-122.29,37.89,52.0,2248.0,0.08757297748123437,870.0,0.08355614973262032,3.4732,246200.0
-122.3,37.87,10.0,503.0,0.02418682235195997,228.0,0.021836007130124777,2.1705,150000.0
-122.24,37.72,5.0,18634.0,0.6011259382819016,7427.0,0.6051693404634582,7.611000000000001,350700.0
-122.06,37.71,36.0,3541.0,0.11843202668890743,1478.0,0.11742424242424243,4.635,248600.0
-122.1,37.7,25.0,2973.0,0.1292743953294412,1413.0,0.1321301247771836,4.3819,209200.0
-122.1,37.69,30.0,3115.0,0.1298999165971643,1444.0,0.12611408199643495,3.7222,195800.0
-122.08,37.68,37.0,848.0,0.041701417848206836,314.0,0.04523172905525847,2.3958,190800.0
-121.97,37.64,32.0,1283.0,0.040033361134278564,485.0,0.037655971479500894,6.0574,431000.0
-122.02,37.63,6.0,2445.0,0.12260216847372811,1189.0,0.12722816399286987,3.8958,301100.0
-122.04,37.66,10.0,2031.0,0.07402001668056714,867.0,0.07798573975044563,5.3169,299200.0
-122.04,37.65,10.0,8299.0,0.27606338615512926,3827.0,0.28654188948306597,6.2579,315500.0
-122.08,37.67,29.0,493.0,0.03461217681401168,233.0,0.03342245989304813,0.9637,160000.0
-122.1,37.61,35.0,2361.0,0.0950792326939116,1727.0,0.1036096256684492,4.5281,173600.0
-122.03,37.62,35.0,2072.0,0.07297748123436197,1001.0,0.07754010695187166,4.7109,198700.0
-122.02,37.6,36.0,1633.0,0.07151793160967473,1382.0,0.0748663101604278,3.694,159600.0
-122.08,37.59,16.0,1816.0,0.07568807339449542,1367.0,0.0786541889483066,4.235,156300.0
-122.08,37.58,15.0,2576.0,0.08673894912427023,1657.0,0.09090909090909091,5.5218,254400.0
-121.97,37.57,21.0,4342.0,0.1628440366972477,2172.0,0.17535650623885918,4.6146,247600.0
-121.93,37.49,5.0,1150.0,0.06442869057547956,648.0,0.05414438502673797,3.5714,300000.0
-122.07,37.52,3.0,14014.0,0.5961217681401167,7205.0,0.6129679144385026,6.0824,273500.0
-122.02,37.56,23.0,4332.0,0.17827356130108424,2461.0,0.18426916221033868,4.3594,223400.0
-122.01,37.55,26.0,2068.0,0.11050875729774812,1434.0,0.10984848484848485,3.3008,224200.0
-121.97,37.54,31.0,1949.0,0.07130942452043369,986.0,0.07130124777183601,4.6349,196200.0
-121.94,37.53,33.0,2095.0,0.07089241034195162,941.0,0.06729055258467023,5.761,259600.0
-121.97,37.51,25.0,3333.0,0.1061301084236864,1671.0,0.11185383244206773,5.4359,258300.0
-121.92,37.48,23.0,4314.0,0.14053377814845705,1972.0,0.13836898395721925,5.3813,264400.0
-121.92,37.47,26.0,2016.0,0.06672226855713094,1105.0,0.07909982174688057,6.0878,246900.0
-122.04,37.5,17.0,407.0,0.019808173477898247,307.0,0.021836007130124777,3.1696,156300.0
-119.78,38.69,17.0,1364.0,0.058381984987489574,338.0,0.03342245989304813,2.45,117600.0
-119.93,38.72,15.0,2061.0,0.09653878231859883,573.0,0.04322638146167558,2.2417,97900.0
-120.0,38.52,16.0,3045.0,0.1128023352793995,202.0,0.022281639928698752,3.15,140600.0
-120.56,38.48,14.0,3545.0,0.14595496246872394,946.0,0.09113190730837789,3.4609,120900.0
-120.59,38.45,13.0,2944.0,0.11592994161801501,1091.0,0.10338680926916222,3.0,119000.0
-120.55,38.46,16.0,1443.0,0.051501251042535445,435.0,0.03988413547237077,3.2031,129200.0
-120.55,38.43,18.0,1564.0,0.07402001668056714,618.0,0.061274509803921566,2.3549,108900.0
-120.25,38.55,15.0,4403.0,0.1853628023352794,1103.0,0.09603386809269163,3.0125,111700.0
-120.79,38.54,34.0,1133.0,0.05254378648874062,495.0,0.04122103386809269,2.05,68900.0
-120.8,38.51,23.0,1001.0,0.0402418682235196,369.0,0.03453654188948307,3.125,96400.0
-120.65,38.5,10.0,1783.0,0.06984987489574646,638.0,0.057932263814616754,2.65,116700.0
-120.76,38.47,17.0,1521.0,0.0640116763969975,607.0,0.05303030303030303,3.5,123800.0
-120.69,38.44,13.0,1473.0,0.054837364470391996,597.0,0.05035650623885918,4.2917,121300.0
-120.97,38.42,16.0,1748.0,0.06672226855713094,4930.0,0.06350267379679145,4.3029,121900.0
-120.87,38.37,28.0,3998.0,0.1590909090909091,1614.0,0.15508021390374332,2.8125,113400.0
-120.98,38.34,27.0,3471.0,0.13573811509591327,1793.0,0.13324420677361853,3.5508,99100.0
-120.88,38.32,18.0,2791.0,0.10216847372810675,1187.0,0.09714795008912656,3.2589,103000.0
-120.93,38.26,13.0,2084.0,0.09320266889074229,834.0,0.06751336898395723,3.2937,114200.0
-120.77,38.38,15.0,4221.0,0.16972477064220184,1737.0,0.16510695187165775,2.3125,128600.0
-120.66,38.4,18.0,2144.0,0.0871559633027523,985.0,0.08444741532976827,3.175,118500.0
-120.62,38.39,15.0,3750.0,0.14366138448707255,1444.0,0.1339126559714795,2.7399,134800.0
-120.69,38.36,19.0,3267.0,0.12760633861551293,1252.0,0.12566844919786097,2.7236,109900.0
-120.8,38.31,37.0,1341.0,0.05296080066722268,533.0,0.053475935828877004,3.2135,123600.0
-121.83,39.76,12.0,9831.0,0.40012510425354464,4644.0,0.3950534759358289,3.1142,112600.0
-121.86,39.78,12.0,7653.0,0.3286071726438699,3628.0,0.3324420677361854,3.0905,117800.0
-121.85,39.77,17.0,5273.0,0.2449958298582152,2446.0,0.2667112299465241,1.9362,89900.0
-121.88,39.74,12.0,14631.0,0.6872393661384487,7517.0,0.7263814616755794,1.6785,153100.0
-121.87,39.75,22.0,1707.0,0.061301084236864055,822.0,0.06573083778966132,3.6625,126600.0
-121.85,39.73,52.0,444.0,0.01626355296080067,1107.0,0.0213903743315508,3.4191,137500.0
-121.78,39.71,8.0,140.0,0.005421184320266889,84.0,0.006016042780748663,2.125,179200.0
-121.84,39.72,52.0,1457.0,0.08069224353628024,802.0,0.07575757575757576,0.9566,69000.0
-121.81,39.7,21.0,5051.0,0.21934945788156798,2948.0,0.2179144385026738,1.5863,81300.0
-121.87,39.82,11.0,5103.0,0.17160133444537115,2456.0,0.1800356506238859,4.5032,159700.0
-121.97,39.79,16.0,1453.0,0.06192660550458716,904.0,0.06327985739750445,3.5735,89600.0
-121.84,39.68,38.0,549.0,0.021476230191826522,275.0,0.020499108734402853,3.5375,153100.0
-121.8,39.64,25.0,2202.0,0.08757297748123437,1109.0,0.089349376114082,2.8306,87500.0
-121.77,39.66,20.0,3759.0,0.0817347789824854,1705.0,0.13324420677361853,4.712,158600.0
