longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value
-122.23,37.88,41.0,880.0,129.0,322.0,-0.7819152737629832,8.3252,452600.0
-122.22,37.86,21.0,7099.0,1106.0,2401.0,1.7745822247396812,8.3014,358500.0
-122.24,37.85,52.0,1467.0,190.0,496.0,-0.6530799255182838,7.2574,352100.0
-122.25,37.84,52.0,2535.0,489.0,1094.0,0.19824384621629912,3.6591,299200.0
-122.27,37.83,49.0,1655.0,366.0,754.0,-0.26910006408310094,1.375,104900.0
-122.27,37.82,43.0,1007.0,312.0,558.0,-0.46108999480069235,1.7348,137500.0
-122.29,37.81,50.0,760.0,190.0,377.0,-0.7920200069586459,0.9011,86100.0
-122.29,37.8,52.0,1027.0,244.0,492.0,-0.728865424485754,2.6094,81300.0
-122.27,37.79,27.0,1055.0,347.0,718.0,-0.3373070131538242,2.6354,187500.0
-122.22,37.77,52.0,391.0,128.0,520.0,-0.7516010741759951,1.6471,95000.0
-122.23,37.78,52.0,472.0,146.0,415.0,-0.7819152737629832,2.6429,71300.0
-122.21,37.76,52.0,1420.0,314.0,1085.0,-0.3423593797516556,1.7546,80600.0
-122.2,37.75,36.0,606.0,132.0,531.0,-0.7642319906705735,1.5809,70000.0
-122.19,37.74,36.0,847.0,212.0,567.0,-0.6985512248987659,1.1765,87100.0
-122.19,37.73,44.0,1066.0,253.0,825.0,-0.48382564449093346,2.1538,79700.0
-122.29,37.9,49.0,1283.0,238.0,576.0,-0.5040351108822588,3.3333,276800.0
-122.29,37.89,52.0,2248.0,422.0,870.0,-0.14784326573514853,3.4732,246200.0
-122.3,37.87,10.0,503.0,118.0,228.0,-0.8475960395347908,2.1705,150000.0
-122.24,37.72,5.0,18634.0,2885.0,7427.0,5.765951837026448,7.611000000000001,350700.0
-122.06,37.71,36.0,3541.0,570.0,1478.0,0.23613659570003426,4.635,248600.0
-122.1,37.7,25.0,2973.0,622.0,1413.0,0.40286469342846887,4.3819,209200.0
-122.1,37.69,30.0,3115.0,625.0,1444.0,0.3346577443577456,3.7222,195800.0
-122.08,37.68,37.0,848.0,202.0,314.0,-0.5823467931486448,2.3958,190800.0
-121.97,37.64,32.0,1283.0,194.0,485.0,-0.6682370253117778,6.0574,431000.0
-122.02,37.63,6.0,2445.0,590.0,1189.0,0.347288660852324,3.8958,301100.0
-122.04,37.66,10.0,2031.0,357.0,867.0,-0.2109978482080404,5.3169,299200.0
-122.04,37.65,10.0,8299.0,1326.0,3827.0,2.1535097195770327,6.2579,315500.0
-122.08,37.67,29.0,493.0,168.0,233.0,-0.7162345079911756,0.9637,160000.0
-122.1,37.61,35.0,2361.0,458.0,1727.0,0.07951323116726233,4.5281,173600.0
-122.03,37.62,35.0,2072.0,352.0,1001.0,-0.21605021480587178,4.7109,198700.0
-122.02,37.6,36.0,1633.0,345.0,1382.0,-0.2463644143928599,3.694,159600.0
-122.08,37.59,16.0,1816.0,365.0,1367.0,-0.20341929831129338,4.235,156300.0
-122.08,37.58,15.0,2576.0,418.0,1657.0,-0.06447921687093121,5.5218,254400.0
-121.97,37.57,21.0,4342.0,783.0,2172.0,0.89294425341811,4.6146,247600.0
-121.93,37.49,5.0,1150.0,311.0,648.0,-0.4812994611920178,3.5714,300000.0
-122.07,37.52,3.0,14014.0,2861.0,7205.0,5.854368252488498,6.0824,273500.0
-122.02,37.56,23.0,4332.0,857.0,2461.0,0.9939915853747371,4.3594,223400.0
-122.01,37.55,26.0,2068.0,532.0,1434.0,0.15024636353690127,3.3008,224200.0
-121.97,37.54,31.0,1949.0,344.0,986.0,-0.2867833471755107,4.6349,196200.0
-121.94,37.53,33.0,2095.0,342.0,941.0,-0.33225464655599285,5.761,259600.0
-121.97,37.51,25.0,3333.0,511.0,1671.0,0.17298201322714235,5.4359,258300.0
-121.92,37.48,23.0,4314.0,676.0,1972.0,0.4735978257981078,5.3813,264400.0
-121.92,37.47,26.0,2016.0,322.0,1105.0,-0.19836693171346204,6.0878,246900.0
-122.04,37.5,17.0,407.0,97.0,307.0,-0.8475960395347908,3.1696,156300.0
-119.78,38.69,17.0,1364.0,282.0,338.0,-0.7162345079911756,2.45,117600.0
-119.93,38.72,15.0,2061.0,465.0,573.0,-0.6050824428388859,2.2417,97900.0
-120.0,38.52,16.0,3045.0,543.0,202.0,-0.8425436729369594,3.15,140600.0
-120.56,38.48,14.0,3545.0,702.0,946.0,-0.06195303357201553,3.4609,120900.0
-120.59,38.45,13.0,2944.0,558.0,1091.0,0.07698704786834666,3.0,119000.0
-120.55,38.46,16.0,1443.0,249.0,435.0,-0.642975192322621,3.2031,129200.0
-120.55,38.43,18.0,1564.0,357.0,618.0,-0.4004615956267161,2.3549,108900.0
-120.25,38.55,15.0,4403.0,891.0,1103.0,-0.006377000995870656,3.0125,111700.0
-120.79,38.54,34.0,1133.0,254.0,495.0,-0.627818092529127,2.05,68900.0
-120.8,38.51,23.0,1001.0,195.0,369.0,-0.7036035914965972,3.125,96400.0
-120.65,38.5,10.0,1783.0,337.0,638.0,-0.43835434511045124,2.65,116700.0
-120.76,38.47,17.0,1521.0,309.0,607.0,-0.49393037768659614,3.5,123800.0
-120.69,38.44,13.0,1473.0,265.0,597.0,-0.5242445772735842,4.2917,121300.0
-120.97,38.42,16.0,1748.0,322.0,4930.0,-0.3751997626375594,4.3029,121900.0
-120.87,38.37,28.0,3998.0,765.0,1614.0,0.6630615732167835,2.8125,113400.0
-120.98,38.34,27.0,3471.0,653.0,1793.0,0.41549560992304724,3.5508,99100.0
-120.88,38.32,18.0,2791.0,492.0,1187.0,0.006253915498707725,3.2589,103000.0
-120.93,38.26,13.0,2084.0,449.0,834.0,-0.3297284632570772,3.2937,114200.0
-120.77,38.38,15.0,4221.0,816.0,1737.0,0.7767398216679889,2.3125,128600.0
-120.66,38.4,18.0,2144.0,420.0,985.0,-0.13773853253948581,3.175,118500.0
-120.62,38.39,15.0,3750.0,691.0,1444.0,0.4230741598197943,2.7399,134800.0
-120.69,38.36,19.0,3267.0,614.0,1252.0,0.3296053777599143,2.7236,109900.0
-120.8,38.31,37.0,1341.0,256.0,533.0,-0.4888780110887648,3.2135,123600.0
-121.83,39.76,12.0,9831.0,1921.0,4644.0,3.3837609861489666,3.1142,112600.0
-121.86,39.78,12.0,7653.0,1578.0,3628.0,2.6739034791536618,3.0905,117800.0
-121.85,39.77,17.0,5273.0,1177.0,2446.0,1.9286794059735373,1.9362,89900.0
-121.88,39.74,12.0,14631.0,3298.0,7517.0,7.140195551636577,1.6785,153100.0
-121.87,39.75,22.0,1707.0,296.0,822.0,-0.3499379296484026,3.6625,126600.0
-121.85,39.73,52.0,444.0,80.0,1107.0,-0.8526484061326222,3.4191,137500.0
-121.78,39.71,8.0,140.0,28.0,84.0,-1.0269550537578038,2.125,179200.0
-121.84,39.72,52.0,1457.0,389.0,802.0,-0.23625968119719717,0.9566,69000.0
-121.81,39.7,21.0,5051.0,1054.0,2948.0,1.3754452635110044,1.5863,81300.0
-121.87,39.82,11.0,5103.0,825.0,2456.0,0.9459941026953392,4.5032,159700.0
-121.97,39.79,16.0,1453.0,299.0,904.0,-0.377725945936475,3.5735,89600.0
-121.84,39.68,38.0,549.0,105.0,275.0,-0.8627531393282848,3.5375,153100.0
-121.8,39.64,25.0,2202.0,422.0,1109.0,-0.08216249996334093,2.8306,87500.0
-121.77,39.66,20.0,3759.0,394.0,1705.0,0.41549560992304724,4.712,158600.0
-121.74,39.59,24.0,1535.0,279.0,726.0,-0.4130925121212945,2.3833,95100.0
-121.75,39.88,16.0,2867.0,559.0,1203.0,0.03404193178678016,2.7143,95300.0
-121.54,40.06,17.0,858.0,262.0,47.0,-1.032007420355635,2.4028,67500.0
-121.51,39.97,22.0,1468.0,285.0,611.0,-0.5065612941811746,2.3036,73000.0
-121.59,39.86,14.0,1527.0,269.0,665.0,-0.4408805284093669,2.8657,119600.0
-121.58,39.83,16.0,4591.0,904.0,1904.0,0.9510464692931706,2.2419,93200.0
-121.6,39.8,10.0,1742.0,307.0,721.0,-0.3120451801646675,2.4537,117900.0
